Query_ID,Query,Keyword_Time,Semantic_Time,Hybrid_Time,Keyword_Score,Semantic_Score,Hybrid_Score,Keyword_Top,Semantic_Top,Hybrid_Top
1,What is the differentiation pathway from hematopoietic stem cells to regulatory T cells?,0.02960062026977539,0.03938126564025879,0.039150238037109375,11,0.6664159297943115,0.799849557876587,doc_1337,doc_1337,doc_1337
2,What is the role of IL-7 receptor in common lymphoid progenitor cells?,0.02832198143005371,0.016170024871826172,0.04142403602600098,10,0.7275698781013489,0.826640498638153,doc_257,doc_249,doc_257
3,Explain the mechanism of thymic selection in CD4 positive T cells,0.024703502655029297,0.009133100509643555,0.0392303466796875,10,0.7976198196411133,0.8691457867622375,doc_836,doc_806,doc_836
4,How do CD25 high expression and CD127 low expression function as Treg markers?,0.03241991996765137,0.014320850372314453,0.028232336044311523,9,0.6086697578430176,0.6434398386213515,doc_1282,doc_1333,doc_1994
5,What is the difference between thymic-derived Treg and peripherally-induced Treg?,0.03728008270263672,0.013979196548461914,0.04137778282165527,6,0.658092200756073,0.6530372699101766,doc_1285,doc_721,doc_768
6,How does Foxp3 transcription factor control Treg cell differentiation?,0.02528071403503418,0.014306306838989258,0.0430903434753418,8,0.8310415744781494,0.8486249446868896,doc_2100,doc_2181,doc_2181
7,How does TSDR demethylation contribute to Treg cell stability?,0.027512073516845703,0.015466451644897461,0.036444902420043945,6,0.6212412714958191,0.7727447628974915,doc_1451,doc_1614,doc_1614
8,Explain the immunosuppressive mechanisms of regulatory T cells in detail,0.017232179641723633,0.012953042984008789,0.03636908531188965,8,0.6959250569343567,0.7872355222702027,doc_1382,doc_2100,doc_2343
9,What role does IL-10 and TGF-beta production by Treg play?,0.023262739181518555,0.016680002212524414,0.040892839431762695,5,0.6265488862991333,0.7385735630989074,doc_614,doc_1608,doc_2281
10,What are the challenges and prospects for clinical applications of regulatory T cells?,0.02752232551574707,0.015099048614501953,0.0449826717376709,8,0.6355516314506531,0.7394862294197082,doc_620,doc_1563,doc_1602
